scenario,year,from_core,to_core,path_length_km,cost_raw
veg_low,2024,45,49,111.79898987322427,219427.28125
veg_low,2024,45,50,276.7350647362926,428021.71875
veg_low,2024,45,53,287.4802307403534,632096.5
veg_low,2024,49,53,125.55634918610959,344544.15625
veg_low,2024,50,53,277.705627484775,586001.0
veg_balanced,2012,1,9,99.698484809842,133465.09375
veg_balanced,2012,1,13,209.10764773832702,311715.03125
veg_balanced,2012,1,17,243.3969696196724,366270.03125
veg_balanced,2012,9,13,25.556349186102135,50743.9453125
veg_balanced,2012,9,17,56.242640687126574,96538.2578125
veg_balanced,2012,13,17,98.42640687118784,165013.015625
veg_balanced,2012,17,24,32.07106781186861,59862.44140625
veg_balanced,2012,18,24,9.41421356237589,23775.130859375
veg_balanced,2012,18,28,155.14213562373357,252119.375
veg_balanced,2012,18,33,117.98275605729931,187789.921875
veg_balanced,2012,24,28,21.00000000000093,33970.3984375
veg_balanced,2012,24,33,39.69848480983784,62614.0859375
veg_balanced,2012,24,38,105.1421356237292,174864.953125
veg_balanced,2012,26,27,109.69848480984002,223509.359375
veg_balanced,2012,26,31,23.899494936615614,50034.046875
veg_balanced,2012,26,32,118.15432893255138,273497.8125
veg_balanced,2012,27,30,203.45584412272163,372966.46875
veg_balanced,2012,27,31,317.50966799187825,695424.4375
veg_balanced,2012,27,32,445.79393923934475,977860.6875
veg_balanced,2012,27,41,158.19595949289322,313532.125
veg_balanced,2012,28,33,21.00000000000745,36283.96875
veg_balanced,2012,28,38,35.556349186098394,69777.640625
veg_balanced,2012,30,36,30.99999999999907,50553.203125
veg_balanced,2012,30,40,136.26702730475833,237652.265625
veg_balanced,2012,30,41,169.90663761154846,314232.15625
veg_balanced,2012,31,32,64.31370849897642,128552.9921875
veg_balanced,2012,33,38,41.00000000000186,66737.8046875
veg_balanced,2012,36,40,63.84062043356747,118460.2265625
veg_balanced,2012,36,41,149.19595949289504,276710.90625
veg_balanced,2012,36,43,111.74011537018268,264659.71875
veg_balanced,2012,38,40,25.556349186109426,49111.98046875
veg_balanced,2012,38,42,29.698484809835655,53507.265625
veg_balanced,2012,40,42,21.41421356237139,55018.05859375
veg_balanced,2012,40,43,133.3675323681467,295957.375
